player,year,per,ts,ast,pts,ws
Chris Paul,1,22.1,0.546,7.8,16.1,10.4
Chris Paul,2,22,0.537,8.9,17.3,8.8
Chris Paul,3,28.3,0.576,11.6,21.1,17.8
Chris Paul,4,30,0.599,11,22.8,18.3
Chris Paul,5,23.7,0.584,10.7,18.7,7.3
Chris Paul,6,23.7,0.578,9.8,15.9,13.9
Chris Paul,7,27,0.581,9.1,19.8,12.7
Chris Paul,8,26.4,0.594,9.7,16.9,13.9
Chris Paul,9,25.9,0.58,10.7,19.1,12.2
Chris Paul,10,26,0.596,10.2,19.1,16.1
Magic Johnson,1,20.6,0.602,7.3,18,10.5
Magic Johnson,2,25.7,0.582,8.6,21.6,6.4
Magic Johnson,3,22.9,0.59,9.5,18.6,12.9
Magic Johnson,4,23,0.603,10.5,16.8,12.5
Magic Johnson,5,22.6,0.628,13.1,17.6,10.2
Magic Johnson,6,23.2,0.637,12.6,18.3,12.7
Magic Johnson,7,24,0.61,12.6,18.8,12.1
Magic Johnson,8,27,0.602,12.2,23.9,15.9
Magic Johnson,9,23.1,0.581,11.9,19.6,10.9
Magic Johnson,10,26.9,0.625,12.8,22.5,16.1
Magic Johnson,11,26.6,0.622,11.5,22.3,16.5
Magic Johnson,12,25.1,0.623,12.5,19.4,15.4
Magic Johnson,13,21.1,0.612,6.9,14.6,3.6
Oscar Robertson,1,25.9,0.555,9.7,30.5,13.2
Oscar Robertson,2,26,0.554,11.4,30.8,15.6
Oscar Robertson,3,24.6,0.588,9.5,28.3,16.8
Oscar Robertson,4,27.6,0.576,11,31.4,20.6
Oscar Robertson,5,26.7,0.561,11.5,30.4,17
Oscar Robertson,6,25.2,0.563,11.1,31.3,16.9
Oscar Robertson,7,25.5,0.583,10.7,30.5,17.4
Oscar Robertson,8,24.6,0.588,9.7,29.2,12.3
Oscar Robertson,9,21.8,0.579,9.8,24.7,12.9
Oscar Robertson,10,21,0.577,8.1,25.3,11.4
Oscar Robertson,11,19.6,0.563,8.2,19.4,12.4
Oscar Robertson,12,18.9,0.54,7.7,17.4,8.3
Oscar Robertson,13,17,0.511,7.5,15.5,8.4
Oscar Robertson,14,14.2,0.502,6.4,12.7,5.9
John Stockton,1,13.3,0.548,12.7,5.6,3.1
John Stockton,2,17,0.566,14.6,7.7,5.9
John Stockton,3,19,0.575,16.8,7.9,6.7
John Stockton,4,23.2,0.645,18.8,14.7,14.1
John Stockton,5,22.9,0.624,17.3,17.1,15.6
John Stockton,6,23.9,0.607,19.4,17.2,14.4
John Stockton,7,23.4,0.604,18.9,17.2,14
John Stockton,8,22.8,0.59,18.9,15.8,13.4
John Stockton,9,21.3,0.584,17.1,15.1,10.6
John Stockton,10,22.5,0.608,17.9,15.1,13.2
John Stockton,11,23.3,0.651,18.3,14.7,13.9
John Stockton,12,21.9,0.642,16.8,14.7,13
John Stockton,13,22.1,0.656,15.8,14.4,13.6
John Stockton,14,21.8,0.628,15.7,12,8
John Stockton,15,21.9,0.571,14.6,11.1,6.4
John Stockton,16,22.4,0.591,15.5,12.1,11.2
John Stockton,17,22.3,0.61,15.9,11.5,10.8
John Stockton,18,21.9,0.601,14,13.4,10.7
John Stockton,19,21,0.577,14.9,10.8,9







