date	Rockets	Warriors
20141028	18.0	0
20141029	11.0	18
20141030	0	0
20141031	0	0
20141101	14.0	23
20141102	0	5
20141103	11.0	0
20141104	17.0	0
20141105	0	17
20141106	17.0	0
20141107	0	0
20141108	-11.0	11
20141109	0	-12
20141110	0	0
20141111	0	-13
20141112	12.0	0
20141113	0	8
20141114	1	0
20141115	0	25
20141116	4.0	21
20141117	-26.0	0
20141118	0	0
20141119	-6.0	0
20141120	0	0
20141121	0	13
20141122	3.0	0
20141123	0	5
20141124	5.0	0
20141125	0	17
20141126	3.0	15
20141127	0	0
20141128	-17.0	5
20141129	14.0	0
20141130	0	11
20141201	0	0
20141202	0	11
20141203	9.0	0
20141204	0	27
20141205	2.0	0
20141206	5.0	10
20141207	0	0
20141208	0	16
20141209	0	0
20141210	-12.0	12
20141211	4.0	0
20141212	0	0
20141213	12.0	7
20141214	0	6
20141215	0	0
20141216	0	7
20141217	4.0	0
20141218	-9.0	5
20141219	0	0
20141220	-7.0	0
20141221	0	0
20141222	15.0	20
20141223	0	-10
20141224	0	0
20141225	0	-14
20141226	6.0	0
20141227	0	13
20141228	-4.0	0
20141229	-1.0	0
20141230	0	40
20141231	19.0	0
20150101	0	0
20150102	-28.0	21
20150103	36.0	0
20150104	0	0
20150105	-9	26
20150106	0	0
20150107	12	15
20150108	24	0
20150109	0	18
20150110	15	0
20150111	0	0
20150112	14	0
20150113	0	11
20150114	-7	15
20150115	11	0
20150116	0	-12
20150117	-25	25
20150118	0	0
20150119	12	43
20150120	0	0
20150121	-13	13
20150122	0	0
20150123	2	25
20150124	0	0
20150125	12	3
20150126	0	0
20150127	0	-2
20150128	5	0
20150129	0	0
20150130	6	-10
20150131	-13	19
20150201	0	0
20150202	0	0
20150203	0	25
20150204	11	14
20150205	0	0
20150206	6	-8
20150207	0	14
20150208	-11	0
20150209	0	5
20150210	9	0
20150211	-15	3
20150212	0	0
20150213	0	0
20150214	0	0
20150215	0	0
20150216	0	0
20150217	0	0
20150218	0	0
20150219	0	0
20150220	-11	11
20150221	22	0
20150222	0	-6
20150223	11	0
20150224	0	7
20150225	5	0
20150226	0	-11
20150227	4	24
20150228	0	0
20150229	0	0
20150301	2	5
20150302	0	-2
20150303	-8	0
20150304	-2	9
20150305	0	0
20150306	10	15
20150307	14	0
20150308	0	8
20150309	0	18
20150310	0	0
20150311	-5	7
20150312	-18	0
20150313	0	-11
20150314	0	11
20150315	2	0
20150316	0	3
20150317	13	0
20150318	0	9
20150319	10	0
20150320	0	16
20150321	-15	15
20150322	0	0
20150323	10	31
20150324	0	14
20150325	2	0
20150326	0	0
20150327	10	23
20150328	0	13
20150329	8	0
20150330	-3	0
20150331	0	4
20150401	4	0
20150402	7	1
20150403	0	0
20150404	0	13
20150405	3	-15
20150406	0	0
20150407	0	-3
20150408	-12	0
20150409	0	11
20150410	-1	0
20150411	0	9
20150412	7	0
20150413	10	4
20150414	0	0
20150415	16	7

